Date,Region,Category,Product,Units,Revenue
2023-05-21,South,Electronics,Laptop,8,152712.0
2023-02-14,West,Electronics,Tablet,2,9410.0
2023-04-30,North,Electronics,Smartphone,18,483516.0
2023-04-23,West,Sports,Tennis Ball,19,47082.0
2023-12-24,West,Electronics,Smartphone,11,409431.0
2023-06-22,North,Furniture,Desk,3,41847.0
2023-06-26,East,Electronics,Headphones,2,122034.0
2023-07-13,North,Sports,Cricket Bat,18,46818.0
2023-10-23,South,Sports,Badminton Racket,23,17687.0
2023-05-29,North,Electronics,Smartphone,8,112304.0
2023-08-21,East,Grocery,Biscuits,6,4848.0
2023-12-10,East,Clothing,Jeans,23,135677.0
2023-11-22,South,Electronics,Tablet,18,591966.0
2023-07-14,East,Furniture,Sofa,21,505029.0
2023-12-17,East,Sports,Football,25,16450.0
2023-06-11,West,Furniture,Office Chair,9,33012.0
2023-06-11,South,Furniture,Table,21,375018.0
2023-03-15,East,Grocery,Cooking Oil,5,2775.0
2023-05-15,West,Sports,Yoga Mat,19,65949.0
2023-03-12,West,Clothing,Jeans,3,2055.0
2023-11-18,South,Electronics,Smartphone,22,1234926.0
2023-07-17,West,Sports,Cricket Bat,20,80680.0
2023-10-11,North,Sports,Badminton Racket,22,25036.0
2023-11-25,East,Sports,Badminton Racket,4,10416.0
2023-08-21,North,Grocery,Coffee,24,14136.0
2023-09-17,North,Sports,Football,21,55524.0
2023-04-12,South,Sports,Yoga Mat,12,18276.0
2023-01-01,East,Sports,Yoga Mat,16,5744.0
2023-06-07,South,Electronics,Headphones,2,64742.0
2023-02-13,West,Sports,Cricket Bat,3,13689.0
2023-12-04,West,Furniture,Desk,18,124380.0
2023-11-07,West,Clothing,Dress,7,33019.0
2023-07-24,East,Furniture,Bookshelf,15,276885.0
2023-05-07,South,Grocery,Rice,3,2226.0
2023-10-11,South,Electronics,Tablet,19,563616.0
2023-12-29,North,Electronics,Laptop,8,77072.0
2023-02-06,South,Electronics,Headphones,9,579816.0
2023-03-09,West,Furniture,Table,8,0.0
2023-04-08,North,Grocery,Cooking Oil,4,5596.0
2023-08-05,West,Grocery,Biscuits,15,2400.0
2023-07-26,East,Electronics,Laptop,4,133564.0
